Month,Day,Year,leofs,loofs,lmhofs-m,lmhofs-h,lmhofs,lsofs
11,1,2023,nan,nan,nan,nan,nan,nan
11,2,2023,nan,nan,nan,nan,nan,nan
11,3,2023,nan,nan,nan,nan,nan,nan
11,4,2023,nan,nan,nan,nan,nan,nan
11,5,2023,nan,nan,nan,nan,nan,nan
11,6,2023,nan,nan,nan,nan,nan,nan
11,7,2023,nan,nan,nan,nan,nan,nan
11,8,2023,nan,nan,nan,nan,nan,nan
11,9,2023,nan,nan,nan,nan,nan,nan
11,10,2023,0,0,0,0,0,0.1
11,11,2023,0,0,0,0,0,0.1
11,12,2023,0,0,0,0.1,0.050667136,0.1
11,13,2023,0,0,0,0.1,0.050667136,0.2
11,14,2023,0,0,0.1,0.1,0.1,0.15
11,15,2023,0,0,0.03,0.13,0.080667136,0.3
11,16,2023,0,0,0.07,0.23,0.151067418,0.27
11,17,2023,0,0,0.1,0.35,0.226667841,0.33
11,18,2023,0,0,0.12,0.25,0.185867277,0.38
11,19,2023,0,0,0.14,0.24,0.190667136,0.4
11,20,2023,0,0,0.2,0.34,0.270933991,0.36
11,21,2023,0,0,0.22,0.52,0.372001409,0.54
11,22,2023,0.02,0.02,0.12,0.23,0.17573385,0.47
11,23,2023,0.07,0.1,0.17,0.38,0.276400986,0.52
11,24,2023,0.03,0.09,0.09,0.39,0.242001409,0.44
11,25,2023,0.01,0.16,0.07,0.24,0.156134132,0.39
11,26,2023,0.01,0.1,0.02,0.14,0.080800564,0.33
11,27,2023,0,0.11,0.05,0.1,0.075333568,0.28
11,28,2023,0,0.12,0.06,0.15,0.105600423,0.28
11,29,2023,0.05,0.1,0.12,0.27,0.196000705,0.46
11,30,2023,0.06,0.07,0.14,0.29,0.216000705,0.44
12,1,2023,0.04,0.06,0.18,0.23,0.205333568,0.49
12,2,2023,0.02,0.05,0.15,0.15,0.15,0.52
12,3,2023,0.02,0.05,0.15,0.26,0.20573385,0.55
12,4,2023,0.04,0.06,0.18,0.32,0.250933991,0.61
12,5,2023,0.05,0.08,0.31,0.4,0.355600423,0.67
12,6,2023,0.08,0.09,0.44,0.57,0.505867277,0.84
12,7,2023,0.1,0.09,0.53,0.77,0.651601127,0.88
12,8,2023,0.14,0.14,0.75,1.1,0.927334977,1.01
12,9,2023,0.46,0.18,0.8,1.44,1.124269673,1.11
12,10,2023,0.75,0.23,0.83,1.69,1.265737373,1.18
12,11,2023,1.02,0.24,0.98,1.91,1.451204368,1.22
12,12,2023,1.49,0.31,1.02,2.32,1.678672773,1.29
12,13,2023,1.77,0.34,1.18,2.65,1.924806905,1.38
12,14,2023,1.96,0.42,1.36,3,2.190941037,1.47
12,15,2023,2.46,0.5,1.47,3.42,2.458009159,1.57
12,16,2023,3.69,0.74,2.22,4.57,3.410677705,2.06
12,17,2023,4.53,1.04,2.63,5.33,3.998012682,2.33
12,18,2023,4.5,1.06,2.95,5.38,4.181211414,2.37
12,19,2023,4.81,0.94,3.05,5.54,4.311611696,2.5
12,20,2023,4.91,1,3.4,6.64,5.041615219,3.14
12,21,2023,5.3,0.98,3.54,6.74,5.161348364,3.27
12,22,2023,6,1.05,3.54,6.73,5.15628165,3.33
12,23,2023,6.61,1.15,3.77,7.17,5.492682637,3.49
12,24,2023,7.9,1.31,4.3,7.85,6.098683341,3.78
